qa_id,step,country,map_no,template_no,source_index,ability_level,reward_pattern,correct_count,mean_reward,signal_class,clipped_ratio,entropy,grad_norm,selection_reason
mapwise_usa_map_1220_t20_src2426,228,usa,map_1220,20,2426,L3,"0,0,1,0",1,0.25,mixed,0.75,0.07462137937545776,0.04150390625,retain_all_mixed_signal
mapwise_usa_map_11349_t33_src2480,231,usa,map_11349,33,2480,L3,"0,0,0,1",1,0.25,mixed,0.75,0.0775034949183464,0.11865234375,retain_all_mixed_signal
mapwise_china_map17_2D_t22_src0800,233,china,map17_2D,22,800,L2,"1,0,0,0",1,0.25,mixed,0.75,0.08554621040821075,0.59765625,retain_all_mixed_signal
mapwise_china_map18_5C_t21_src0626,234,china,map18_5C,21,626,L2,"1,0,1,0",2,0.5,mixed,0.25,0.2829177528619766,0.03125,retain_all_mixed_signal
mapwise_usa_map_18348_t29_src2365,235,usa,map_18348,29,2365,L2,"0,0,0,0",0,0.0,all_wrong_nonfullclip,0.5,0.09310600161552429,0.0,balance_L2_hard_nonfullclip
mapwise_china_map22_6D_t24_src0709,236,china,map22_6D,24,709,L2,"0,0,1,0",1,0.25,mixed,0.0,0.31426870822906494,0.05712890625,retain_all_mixed_signal
mapwise_usa_map_9_t41_src2297,239,usa,map_9,41,2297,L0,"1,1,1,1",4,1.0,all_correct,0.0,0.25449633970856667,0.0,balance_L0_easy_all_correct
mapwise_china_map9_7C_t6_src0611,240,china,map9_7C,6,611,L0,"0,0,0,0",0,0.0,all_wrong_nonfullclip,0.0,0.29038822650909424,0.0,balance_L0_hard_nonfullclip
mapwise_china_map11_8D_t1_src0540,241,china,map11_8D,1,540,L0,"1,1,1,1",4,1.0,all_correct,0.0,0.10948626138269901,0.0,balance_L0_easy_all_correct
mapwise_india_map10_8C_t3_src1110,242,india,map10_8C,3,1110,L0,"1,1,1,1",4,1.0,all_correct,0.0,0.1800488866865635,0.0,balance_L0_easy_all_correct
mapwise_india_map8_6C_t30_src1087,244,india,map8_6C,30,1087,L2,"1,1,0,0",2,0.5,mixed,0.5,0.212486632168293,0.060302734375,retain_all_mixed_signal
mapwise_usa_map_1347_t41_src2908,248,usa,map_1347,41,2908,L0,"0,0,0,0",0,0.0,all_wrong_nonfullclip,0.0,0.29352880269289017,0.0,balance_L0_hard_nonfullclip
mapwise_usa_map_12788_t7_src2615,249,usa,map_12788,7,2615,L0,"1,1,1,1",4,1.0,all_correct,0.0,0.22646474838256836,0.0,balance_L0_easy_all_correct
mapwise_india_map69_0D_t41_src1434,251,india,map69_0D,41,1434,L0,"0,0,0,0",0,0.0,all_wrong_nonfullclip,0.0,0.31214988231658936,0.0,balance_L0_hard_nonfullclip
mapwise_china_map8_5C_t31_src0079,252,china,map8_5C,31,79,L2,"1,0,1,1",3,0.75,mixed,0.25,0.24177192151546478,0.017333984375,retain_all_mixed_signal
mapwise_china_map13_1C_t2_src0127,253,china,map13_1C,2,127,L0,"1,1,1,1",4,1.0,all_correct,0.0,0.221717469394207,0.0,balance_L0_easy_all_correct
mapwise_china_map11_5C_t36_src0108,254,china,map11_5C,36,108,L3,"0,0,1,0",1,0.25,mixed,0.0,0.3545154854655266,0.04296875,retain_all_mixed_signal
mapwise_india_map72_6C_t10_src1450,255,india,map72_6C,10,1450,L1,"1,0,1,0",2,0.5,mixed,0.0,0.3986419215798378,0.04833984375,retain_all_mixed_signal
mapwise_china_map3_3D_t6_src0878,257,china,map3_3D,6,878,L0,"0,0,0,0",0,0.0,all_wrong_nonfullclip,0.0,0.22594191879034042,0.0,balance_L0_hard_nonfullclip
mapwise_usa_map_8576_t5_src2936,258,usa,map_8576,5,2936,L0,"0,0,0,0",0,0.0,all_wrong_nonfullclip,0.0,0.14110187254846096,0.0,balance_L0_hard_nonfullclip
mapwise_india_map105_6C_t16_src1657,262,india,map105_6C,16,1657,L1,"0,0,0,0",0,0.0,all_wrong_nonfullclip,0.75,0.07079340517520905,0.0,balance_L1_hard_nonfullclip
mapwise_china_map17_0D_t6_src0560,264,china,map17_0D,6,560,L0,"0,0,0,0",0,0.0,all_wrong_nonfullclip,0.0,0.1657947190105915,0.0,balance_L0_hard_nonfullclip
mapwise_china_map11_5D_t34_src0965,266,china,map11_5D,34,965,L3,"0,0,0,0",0,0.0,all_wrong_nonfullclip,0.75,0.054966721683740616,0.0,balance_L3_hard_nonfullclip
